model_type,seed,action_mode,episode_id,episode_seed,success,return,episode_length,num_goal_updates,mean_goal_norm,std_goal_norm,mean_goal_delta_l2,std_goal_delta_l2,mean_goal_cosine_prev,std_goal_cosine_prev,mean_policy_entropy,mean_top1_prob,mean_chosen_action_prob,mean_action_kl_on_goal_update,top1_action_change_rate_on_goal_update
baseline,1,sample,16,1016,True,0.8803,133,14,1.586092421883031,0.19683607063076752,0.025968848022096085,0.09670086233552576,0.9986289636299033,0.007658764073494138,1.7041349375158323,0.37955324811146673,0.24385456082628185,0.15109124586272699,0.38461538461538464
baseline,1,sample,17,1017,True,0.9586,46,5,2.1462018904478652,0.21677470092164258,0.033175274067454866,0.11002705191106793,0.9990766880489144,0.0033239184972465546,1.366280331559803,0.5623436881148297,0.34561344232086255,0.6551631286856718,0.25
baseline,1,sample,18,1018,True,0.9649,39,4,1.9329357147216797,0.2580125030978385,0.027079629662789796,0.09898192671636294,0.9993498178374136,0.002496634848754599,1.443966180850298,0.5133962738208282,0.34864319674670696,1.0738176085675757,0.6666666666666666
baseline,1,sample,19,1019,True,0.9829,19,2,2.1064953427565727,0.177354764960497,0.023456038700209722,0.09671172511954025,0.9996745770395218,0.0013421430915257603,1.2996152639389038,0.5850241215605485,0.4954056712357621,9.142444469034672e-05,0.0
baseline,1,sample,20,1020,True,0.9766,26,3,2.0707947932756863,0.114079583682377,0.020766491889953612,0.0704537509946656,0.999588417722296,0.001421125847772883,1.2876501037524297,0.5931956332463485,0.43004717935736364,4.73189284093678e-05,0.0
baseline,1,sample,21,1021,True,0.9415,65,7,2.0105025401482215,0.1841527629696394,0.032916639698669314,0.10958616617970723,0.9991742438424539,0.003005969896756441,1.4392195417330815,0.5154843651331388,0.3063956835808662,0.27215152012649924,0.3333333333333333
baseline,1,sample,22,1022,True,0.9685,35,4,1.876441410609654,0.20930193574017467,0.038357214016072894,0.1254652463459567,0.9979425772876096,0.007654682882291248,1.3186759318624224,0.5834051523889814,0.3550475508506809,1.0235419080903132,0.6666666666666666
baseline,1,sample,23,1023,True,0.9748,28,3,1.8511881402560644,0.19350320260588388,0.035074869791666664,0.12516662494543207,0.9980862410234604,0.00752881575292988,1.3260995149612427,0.5799597107938358,0.40451375554714886,0.9865538775920868,1.0
baseline,1,sample,24,1024,True,0.9802,22,3,2.0850424658168447,0.1630892313102759,0.04332759550639561,0.13430455209906617,0.9988819164131445,0.0038420556984173158,1.343236587264321,0.5704405118118633,0.5524123155257918,0.5392680978402495,0.5
baseline,1,sample,25,1025,True,0.9703,33,4,1.9438274051203872,0.2148882716426917,0.040358114056289196,0.1270809134116032,0.9988393775759984,0.0039703423335189295,1.3833059198928601,0.545980124762564,0.3608657745926669,0.9892564294083664,0.6666666666666666
