episode,total_reward,episode_length,success,total_loss,worker_loss,value_loss,entropy_bonus,manager_loss,grad_norm,encoder_grad_norm,manager_grad_norm,worker_grad_norm,value_head_grad_norm,manager_value_head_grad_norm,returns_mean,returns_min,returns_max,advantages_mean,advantages_abs_mean,values_mean,value_min,value_max,manager_values_mean,manager_value_min,manager_value_max,log_prob_mean,log_prob_min,log_prob_max,entropy_mean,entropy_min,entropy_max,num_steps,action_min,action_max,action_coverage,action_histogram,reward_min,reward_max,nonzero_reward_steps,positive_reward_steps,nonzero_reward_fraction,nonzero_return_steps,nonzero_return_fraction,has_reward_signal,has_return_signal,num_goal_updates,final_hidden_norm,final_goal_norm,final_step_count,reward_moving_avg,success_moving_avg,loss_moving_avg
2036,0.8767,137,True,0.07377778738737106,0.07648859173059464,0.02415776439011097,1.772261619567871,0.029329273849725723,0.10802508890628815,0.06851028926733774,0.007879758104757936,0.04100299893477687,0.07224900023831764,0.0035363541492340698,0.4784349799156189,0.2234797328710556,0.8766999840736389,0.04409771040081978,0.12218692153692245,0.4343372583389282,0.3185950517654419,0.912121057510376,0.45314648747444153,0.35937273502349854,0.6402122974395752,-1.7993448972702026,-3.11008620262146,-0.23302650451660156,1.772261619567871,0.8261284232139587,1.9251898527145386,137,0,6,1.0,"23,15,27,9,12,22,29",0.0,0.8767,1,1,0.0072992700729927005,137,1.0,True,True,14,0.0,1.2237751483917236,137,0.8494300000000001,1.0,-0.007141380105167627
2037,0.6742,362,True,-0.3936607539653778,-0.4307565689086914,0.0908551961183548,1.8071144819259644,0.09739382565021515,0.6338017582893372,0.4922019414968564,0.03260537191560903,0.0267312292439337,0.3881213684111774,0.08382148873835132,0.18134525418281555,0.01790999062359333,0.6741999983787537,-0.24479764699935913,0.26374706625938416,0.4261428713798523,0.30267369747161865,0.8980451822280884,0.41895848512649536,0.29375237226486206,0.9469736814498901,-1.7860639095306396,-3.246677875518799,-0.1923975944519043,1.8071144819259644,0.7235779166221619,1.9343870878219604,362,0,6,1.0,"59,39,87,30,26,61,60",0.0,0.6742,1,1,0.0027624309392265192,362,1.0,True,True,37,0.0,2.829543113708496,362,0.838135,1.0,-0.038382379058748486
2038,0.8569,159,True,-0.018714727833867073,-0.02198679931461811,0.035546690225601196,1.7693488597869873,0.03192214295268059,0.10545634478330612,0.08766126549559913,0.005805915517486418,0.03147223002909489,0.04858577794749176,0.0071940552590065215,0.42990532517433167,0.17510220408439636,0.8568999767303467,-0.015242179855704308,0.15198352932929993,0.4451475143432617,0.3078106939792633,0.9061453938484192,0.4305592179298401,0.3473324775695801,0.7259423136711121,-1.7626255750656128,-3.8075103759765625,-0.1996290683746338,1.7693488597869873,0.7307119369506836,1.93096923828125,159,0,6,1.0,"23,14,47,17,11,18,29",0.0,0.8569,1,1,0.006289308176100629,159,1.0,True,True,16,0.0,1.847113847732544,159,0.8371000000000001,1.0,-0.038687536027282476
2039,0.8119000000000001,209,True,-0.11307337135076523,-0.11725873500108719,0.037890397012233734,1.8295310735702515,0.03535480424761772,0.1750706285238266,0.12278608580545024,0.01026896266468607,0.025152282428344566,0.11907751285886553,0.025607877882948396,0.34092339873313904,0.10037466138601303,0.8119000196456909,-0.06532920151948929,0.16378022730350494,0.4062526226043701,0.2906774580478668,0.9589442014694214,0.40308138728141785,0.30697375535964966,0.8084965944290161,-1.8291949033737183,-3.5685462951660156,-0.09310245513916016,1.8295310735702515,0.4208816885948181,1.9356741905212402,209,0,6,1.0,"28,20,56,19,12,35,39",0.0,0.8119000000000001,1,1,0.004784688995215311,209,1.0,True,True,21,0.0,2.1751487255096436,209,0.83188,1.0,-0.05660414202138782
2040,0.9406,66,True,0.39784982800483704,0.3806900382041931,0.05672662332653999,1.7174808979034424,0.059712767601013184,0.4691137671470642,0.2922605194390171,0.025594256955844503,0.0636445647717707,0.35447526791551215,0.06552181701157545,0.6910033226013184,0.4894327223300934,0.9405999779701233,0.21733933687210083,0.22184163331985474,0.4736640453338623,0.29019245505332947,0.8464930057525635,0.4694427251815796,0.3503744304180145,0.6168001294136047,-1.740071177482605,-3.3315446376800537,-0.07063722610473633,1.7174808979034424,0.33268481492996216,1.93589448928833,66,0,6,1.0,"6,7,17,8,4,14,10",0.0,0.9406,1,1,0.015151515151515152,66,1.0,True,True,7,0.0,1.3869823217391968,66,0.83773,1.0,-0.03037337837740779
2041,0.0,1000,False,-0.6281854510307312,-0.6915799975395203,0.13610713183879852,1.89357328414917,0.14276733994483948,0.6848217248916626,0.4344457068641302,0.040706967157723054,0.0328070589486592,0.5141018456761954,0.11490716396294096,0.0,0.0,0.0,-0.3626415431499481,0.3626415431499481,0.3626415431499481,0.28525441884994507,0.5841472148895264,0.37334927916526794,0.3224222958087921,0.6100586652755737,-1.914161205291748,-3.3977694511413574,-0.26346468925476074,1.89357328414917,0.9045218825340271,1.9325906038284302,1000,0,6,1.0,"129,145,176,130,112,169,139",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.0,0.5333414077758789,1000,0.7979,0.95,-0.0455660211853683
2042,0.9334,74,True,0.36448580026626587,0.35268303751945496,0.050521884113550186,1.7210129499435425,0.037519313395023346,0.42179983854293823,0.2827111845518812,0.017941532070032577,0.06398541246283113,0.30131713933084175,0.05273952944607637,0.6617807149887085,0.448164165019989,0.9333999752998352,0.1862035095691681,0.1908561736345291,0.475577175617218,0.3477168679237366,0.8410127758979797,0.4911319315433502,0.3618125319480896,0.7117694616317749,-1.780818223953247,-5.367380142211914,-0.058499813079833984,1.7210129499435425,0.28969916701316833,1.9301704168319702,74,0,6,1.0,"4,5,21,9,7,10,18",0.0,0.9334,1,1,0.013513513513513514,74,1.0,True,True,8,0.0,1.8715276718139648,74,0.8141450000000001,0.95,0.0006747704930603505
2043,0.748,280,True,-0.2604311406612396,-0.27093401551246643,0.04692700132727623,1.8587677478790283,0.05627042055130005,0.2973082661628723,0.19806987809438378,0.017848528962370117,0.021604377993185667,0.21436952683876,0.04920281991972116,0.2511255145072937,0.045302510261535645,0.7480000257492065,-0.14259743690490723,0.1874360591173172,0.39372292160987854,0.27103468775749207,0.8923676013946533,0.39202016592025757,0.3147142231464386,0.752621054649353,-1.845855712890625,-3.0758063793182373,-0.20343732833862305,1.8587677478790283,0.7386842966079712,1.9376530647277832,280,0,6,1.0,"46,28,67,27,28,49,35",0.0,0.748,1,1,0.0035714285714285713,280,1.0,True,True,28,0.0,1.9985010623931885,280,0.802895,0.95,-0.029241697769612073
2044,0.9469,59,True,0.633878767490387,0.57686448097229,0.12837101519107819,1.7653881311416626,0.10482656955718994,0.8577537536621094,0.698632072088944,0.040517229805968724,0.1120710440728478,0.47514204854857645,0.08771062688161124,0.7179054021835327,0.5286226272583008,0.9469000101089478,0.3400939106941223,0.3400939106941223,0.3778115212917328,0.26512986421585083,0.7782499194145203,0.4014092683792114,0.3188675343990326,0.5534142851829529,-1.6581602096557617,-3.0088911056518555,-0.0964055061340332,1.7653881311416626,0.42584413290023804,1.9347258806228638,59,0,6,0.8571428571428571,"10,2,15,6,0,14,12",0.0,0.9469,1,1,0.01694915254237288,59,1.0,True,True,6,0.0,0.9173834919929504,59,0.801725,0.95,-0.01724732546135783
2045,0.22960000000000003,856,True,-0.5332422256469727,-0.5751758217811584,0.099174365401268,1.8749477863311768,0.11095909774303436,0.5727356672286987,0.3799051884819046,0.03445709110299841,0.029884798047852358,0.41465120817742057,0.09839785913969058,0.026817532256245613,4.2566411138977855e-05,0.2295999974012375,-0.30656856298446655,0.30656856298446655,0.3333861231803894,0.2644791901111603,0.8162158131599426,0.35130617022514343,0.2840699851512909,0.5866724252700806,-1.8901677131652832,-3.0757617950439453,-0.0721883773803711,1.8749477863311768,0.3401394784450531,1.9356943368911743,856,0,6,1.0,"115,105,182,128,82,131,113",0.0,0.22960000000000003,1,1,0.0011682242990654205,856,1.0,True,True,86,0.0,1.31138014793396,856,0.765725,0.95,-0.050063788425177336
