model_type,seed,action_mode,episode_id,episode_seed,step,reward,done,success,action,goal_updated,goal_age,goal_norm,goal_delta_l2,goal_cosine_prev,policy_entropy,top1_prob,chosen_action_prob,top1_action,action_changed_from_prev_step,hidden_norm,action_prob_kl_from_prev,top1_action_changed_on_goal_update,goal_vector,action_probs
baseline,1,argmax,2,1002,7,0.0,False,True,2,False,7,1.5698381662368774,0.0,1.0000000319018423,1.7956582307815552,0.29107582569122314,0.29107582569122314,2,False,1.9597963094711304,,,"[-0.408923,0.499979,-0.084864,0.17446,-0.449449,-0.353071,-0.684768,-0.156325,0.773618,-0.064966,-0.388119,-0.358443,0.466498,0.044673,-0.275603,0.110235]","[0.02241409,0.17740443,0.29107583,0.13390529,0.14652796,0.09906253,0.1296099]"
baseline,1,argmax,2,1002,8,0.0,False,True,1,False,8,1.5698381662368774,0.0,1.0000000319018423,1.3243900537490845,0.6257066130638123,0.6257066130638123,1,True,1.9597963094711304,,,"[-0.408923,0.499979,-0.084864,0.17446,-0.449449,-0.353071,-0.684768,-0.156325,0.773618,-0.064966,-0.388119,-0.358443,0.466498,0.044673,-0.275603,0.110235]","[0.05816693,0.62570661,0.03838187,0.06653983,0.07119387,0.07477123,0.06523971]"
baseline,1,argmax,2,1002,9,0.0,False,True,2,False,9,1.5698381662368774,0.0,1.0000000319018423,1.403350591659546,0.5519090294837952,0.5519090294837952,2,True,1.9597963094711304,,,"[-0.408923,0.499979,-0.084864,0.17446,-0.449449,-0.353071,-0.684768,-0.156325,0.773618,-0.064966,-0.388119,-0.358443,0.466498,0.044673,-0.275603,0.110235]","[0.02620457,0.0101557,0.55190903,0.09113868,0.10487496,0.09347635,0.12224065]"
baseline,1,argmax,2,1002,10,0.0,False,True,0,True,0,2.0812485218048096,0.5406502485275269,0.9952923014793047,1.1293959617614746,0.6997444033622742,0.6997444033622742,0,True,2.7970995903015137,1.9536385536193848,True,"[-0.548969,0.713746,-0.106872,0.241514,-0.528152,-0.488641,-0.998162,-0.115652,0.95101,-0.040898,-0.497905,-0.468893,0.617551,0.04972,-0.334401,0.232586]","[0.6997444,0.06974128,0.02236654,0.03296809,0.04866984,0.06265251,0.06385739]"
baseline,1,argmax,2,1002,11,0.0,False,True,5,False,1,2.0812485218048096,0.0,1.0000000026139786,1.3583264350891113,0.5969461798667908,0.5969461798667908,5,True,2.7970995903015137,,,"[-0.548969,0.713746,-0.106872,0.241514,-0.528152,-0.488641,-0.998162,-0.115652,0.95101,-0.040898,-0.497905,-0.468893,0.617551,0.04972,-0.334401,0.232586]","[0.05228391,0.02079774,0.05975917,0.08019985,0.11032599,0.59694618,0.07968711]"
baseline,1,argmax,2,1002,12,0.0,False,True,2,False,2,2.0812485218048096,0.0,1.0000000026139786,1.5518596172332764,0.4586329758167267,0.4586329758167267,2,True,2.7970995903015137,,,"[-0.548969,0.713746,-0.106872,0.241514,-0.528152,-0.488641,-0.998162,-0.115652,0.95101,-0.040898,-0.497905,-0.468893,0.617551,0.04972,-0.334401,0.232586]","[0.02803702,0.01862581,0.45863298,0.13622294,0.13350143,0.07610243,0.14887749]"
baseline,1,argmax,2,1002,13,0.0,False,True,2,False,3,2.0812485218048096,0.0,1.0000000026139786,1.442632794380188,0.5006148219108582,0.5006148219108582,2,False,2.7970995903015137,,,"[-0.548969,0.713746,-0.106872,0.241514,-0.528152,-0.488641,-0.998162,-0.115652,0.95101,-0.040898,-0.497905,-0.468893,0.617551,0.04972,-0.334401,0.232586]","[0.00844092,0.0073541,0.50061482,0.1344396,0.12700611,0.10622049,0.11592396]"
baseline,1,argmax,2,1002,14,0.0,False,True,2,False,4,2.0812485218048096,0.0,1.0000000026139786,1.4334511756896973,0.5230923295021057,0.5230923295021057,2,False,2.7970995903015137,,,"[-0.548969,0.713746,-0.106872,0.241514,-0.528152,-0.488641,-0.998162,-0.115652,0.95101,-0.040898,-0.497905,-0.468893,0.617551,0.04972,-0.334401,0.232586]","[0.01461337,0.01063664,0.52309233,0.11245856,0.12272999,0.10492397,0.11154518]"
baseline,1,argmax,2,1002,15,0.0,False,True,0,False,5,2.0812485218048096,0.0,1.0000000026139786,1.1631340980529785,0.6890133023262024,0.6890133023262024,0,True,2.7970995903015137,,,"[-0.548969,0.713746,-0.106872,0.241514,-0.528152,-0.488641,-0.998162,-0.115652,0.95101,-0.040898,-0.497905,-0.468893,0.617551,0.04972,-0.334401,0.232586]","[0.6890133,0.05890434,0.02836565,0.03599565,0.05329899,0.06321993,0.07120212]"
baseline,1,argmax,2,1002,16,0.0,False,True,2,False,6,2.0812485218048096,0.0,1.0000000026139786,1.4676954746246338,0.5079470872879028,0.5079470872879028,2,True,2.7970995903015137,,,"[-0.548969,0.713746,-0.106872,0.241514,-0.528152,-0.488641,-0.998162,-0.115652,0.95101,-0.040898,-0.497905,-0.468893,0.617551,0.04972,-0.334401,0.232586]","[0.01199029,0.01949267,0.50794709,0.11247624,0.12214743,0.1257776,0.10016873]"
baseline,1,argmax,2,1002,17,0.0,False,True,1,False,7,2.0812485218048096,0.0,1.0000000026139786,1.0373022556304932,0.7386353611946106,0.7386353611946106,1,True,2.7970995903015137,,,"[-0.548969,0.713746,-0.106872,0.241514,-0.528152,-0.488641,-0.998162,-0.115652,0.95101,-0.040898,-0.497905,-0.468893,0.617551,0.04972,-0.334401,0.232586]","[0.04043863,0.73863536,0.02641549,0.04610868,0.0483747,0.04692138,0.05310578]"
baseline,1,argmax,2,1002,18,0.0,False,True,5,False,8,2.0812485218048096,0.0,1.0000000026139786,1.3402577638626099,0.5940108299255371,0.5940108299255371,5,True,2.7970995903015137,,,"[-0.548969,0.713746,-0.106872,0.241514,-0.528152,-0.488641,-0.998162,-0.115652,0.95101,-0.040898,-0.497905,-0.468893,0.617551,0.04972,-0.334401,0.232586]","[0.0224341,0.01945486,0.08389755,0.08806472,0.11291428,0.59401083,0.07922364]"
baseline,1,argmax,2,1002,19,0.0,False,True,2,False,9,2.0812485218048096,0.0,1.0000000026139786,1.232477068901062,0.6094256043434143,0.6094256043434143,2,True,2.7970995903015137,,,"[-0.548969,0.713746,-0.106872,0.241514,-0.528152,-0.488641,-0.998162,-0.115652,0.95101,-0.040898,-0.497905,-0.468893,0.617551,0.04972,-0.334401,0.232586]","[0.00394621,0.00132782,0.6094256,0.09982476,0.09450851,0.08354042,0.10742674]"
baseline,1,argmax,2,1002,20,0.0,False,True,2,True,0,2.483381748199463,0.6059176325798035,0.9801272598577869,1.0743070840835571,0.6798168420791626,0.6798168420791626,2,False,3.31418514251709,0.02570207789540291,False,"[-0.47678,1.021913,0.020322,0.359995,-0.758669,-0.382795,-1.121842,-0.193429,1.153959,-0.106276,-0.336178,-0.640062,0.802545,0.147235,-0.412396,0.214612]","[0.0007358,0.00054828,0.67981684,0.07475179,0.07764003,0.1007227,0.06578451]"
baseline,1,argmax,2,1002,21,0.9802,True,True,2,False,1,2.483381748199463,0.0,0.9999999874207912,1.2686958312988281,0.568757951259613,0.568757951259613,2,False,3.31418514251709,,,"[-0.47678,1.021913,0.020322,0.359995,-0.758669,-0.382795,-1.121842,-0.193429,1.153959,-0.106276,-0.336178,-0.640062,0.802545,0.147235,-0.412396,0.214612]","[0.00084619,0.00118556,0.56875795,0.08185049,0.10620825,0.16827585,0.07287567]"
baseline,1,argmax,3,1003,0,0.0,False,True,0,True,0,1.5698381662368774,,,1.6934075355529785,0.3890529274940491,0.3890529274940491,0,,1.9597963094711304,,,"[-0.408923,0.499979,-0.084864,0.17446,-0.449449,-0.353071,-0.684768,-0.156325,0.773618,-0.064966,-0.388119,-0.358443,0.466498,0.044673,-0.275603,0.110235]","[0.38905293,0.20641626,0.04422475,0.06762277,0.09035597,0.10750037,0.09482703]"
